row,col,name,source_w,source_h
0,0,plum,121,161
0,1,cherries,145,158
0,2,bell,132,153
0,3,clover,143,150
0,4,star,148,153
0,5,diamond-blue,146,129
0,6,seven,126,147
0,7,crown,161,135
1,0,lemon,131,144
1,1,orange,137,152
1,2,watermelon,145,148
1,3,grapes,142,151
1,4,strawberry,126,158
1,5,blueberries,147,139
1,6,horseshoe,136,148
1,7,heart,133,123
2,0,spade,116,135
2,1,club,130,136
2,2,heart-card,134,121
2,3,diamond-card,122,128
2,4,bar,176,105
2,5,coin-stack,136,140
2,6,money-bag,131,156
2,7,cash-stack,160,136
3,0,coin,138,143
3,1,gem-ruby,151,134
3,2,gem-emerald,154,139
3,3,gem-amethyst,146,139
3,4,wild,175,176
3,5,bonus,171,179
3,6,trophy,161,147
3,7,poker-chip,145,143
4,0,dice,138,161
4,1,gold-bars,159,139
4,2,grapes-alt,141,168
4,3,watermelon-alt,151,155
4,4,key,155,146
4,5,heart-gem,139,132
4,6,money-bag-green,135,179
4,7,slot-machine,206,154
